epoch,loss,acc,val_loss,val_acc,testsample_loss,testsample_acc
0,1.3183047758221993,0.6096206963001027,0.828824336712177,0.73072022658128,0.8273999691009521,0.7295774221420288
1,1.0672890705292908,0.7326020823965828,0.7837129006019006,0.7420253753662109,0.7549435496330261,0.7464550733566284
2,1.0298514982656732,0.750390625,0.7402772903442383,0.7501657926119291,0.7176512479782104,0.7572199702262878
3,1.0079614433453237,0.7608909301130524,0.7385977231539212,0.7541090891911433,0.7169418931007385,0.7603175640106201
4,0.9976890697263617,0.7657111141443987,0.7445399944598858,0.7501167150644156,0.7094536423683167,0.7613877058029175
5,0.989807116360483,0.769056066530704,0.7352410829984225,0.7553473986112155,0.7074355483055115,0.7642612457275391
6,0.9799122197777492,0.773370806702852,0.7187353280874399,0.7606791716355544,0.6877928972244263,0.768474280834198
7,0.9730033160971223,0.7763142443634378,0.7264881867628831,0.757423107440655,0.695517897605896,0.7648608684539795
8,0.9669723150051387,0.7788236988534173,0.731046016399677,0.7574608142559345,0.689239501953125,0.7701721787452698
9,0.9621595580678315,0.7810174516636691,0.7181761081402118,0.7587699890136719,0.6967979669570923,0.7675831317901611
10,0.9572713257965056,0.7833084592593782,0.6956332280085638,0.7713772700383112,0.6944898962974548,0.7673595547676086
11,0.9534321203751285,0.784996366745889,0.725559821495643,0.7613980953509991,0.6926904916763306,0.771271824836731
12,0.9501911974884378,0.7864669815486897,0.7329635620117188,0.7574242811936599,0.7010411620140076,0.7670373916625977
13,0.946411408819373,0.7881952362217369,0.7257324365469126,0.7604560852050781,0.7033644318580627,0.7656913995742798
14,0.9436847620118192,0.7894291876766444,0.7202722842876728,0.7616774485661433,0.6941453814506531,0.7708150148391724
15,0.9407333954265159,0.7905634755588387,0.7152304282555213,0.7615789266733023,0.6958240866661072,0.7677685022354126
16,0.9379399047726105,0.7919840076599435,0.7204089531531701,0.761841920705942,0.6924002766609192,0.7716185450553894
17,0.9353210511947585,0.7933568658466085,0.7324391878568209,0.7580057290884165,0.6888698935508728,0.7727976441383362
18,0.9327989505716855,0.7944296292876413,0.7368403948270358,0.7537515346820538,0.6886768937110901,0.7706434726715088
19,0.9310343131744604,0.795213338257965,0.74407775585468,0.7540852473332331,0.7037292718887329,0.7657840847969055
20,0.9286080622109455,0.7963407008767985,0.7612185845008264,0.7488151697012094,0.7078596353530884,0.7614541053771973
21,0.9268542643563721,0.7969228244636434,0.7544359060434195,0.7511159456693209,0.6973705887794495,0.7706008553504944
